Id_tag,Id,Name,Algorithms,Difficulty
0,1240F,Football,graphs,2200
1,1238G,Adilbek and the Watering System,data structures;greedy;sortings,2200
2,1238F,The Maximum Subtree,dfs and similar;dp;graphs;trees,2200
3,1238E,Keyboard Purchase,bitmasks;dp,2200
4,1238D,AB-string,binary search;combinatorics;dp;strings,2200
5,1238C,Standard Free2play,dp;greedy;math,2200
6,1238B,Kill `Em All,greedy;sortings,2200
7,1238A,Prime Subtraction,math;number theory,2200
8,1234F,Yet Another Substring Reverse,bitmasks;dp,2400
9,1234E,Special Permutations,math,2000
10,1234D,Distinct Characters Queries,data structures,1600
11,1234C,Pipes,dp;implementation,1400
12,1234B2,Social Network (hard version),data structures;implementation,1200
13,1234B1,Social Network (easy version),implementation,1000
14,1234A,Equalize Prices Again,math,900
15,1231E,Middle-Out,constructive algorithms;greedy;strings,2000
16,1231C,Increasing Matrix,greedy,1100
17,1230B,Ania and Minimizing,greedy;implementation,1000
18,1230A,Dawid and Bags of Candies,brute force;implementation,800
19,1228F,One Node is Gone,constructive algorithms;implementation;trees,2700
20,1228E,Another Filling the Grid,combinatorics;dp;math,2300
21,1228D,Complete Tripartite,brute force;constructive algorithms;graphs;hashing;implementation,1800
22,1228C,Primes and Multiplication,math;number theory,1600
23,1228B,Filling the Grid,implementation;math,1300
24,1228A,Distinct Digits,brute force;implementation,800
25,1223G,Wooden Raft,binary search;math;number theory,2200
26,1223F,Stack Exterminable Arrays,data structures;divide and conquer;dp;hashing,2200
27,1223E,Paint the Tree,dp;sortings;trees,2200
28,1223D,Sequence Sorting,dp;greedy;two pointers,2200
29,1223C,Save the Nature,binary search;greedy,2200
30,1223B,Strings Equalization,strings,2200
31,1223A,CME,math,2200
32,1221G,Graph And Numbers,bitmasks;brute force;combinatorics;dp;meet-in-the-middle,2900
33,1221F,Choose a Square,binary search;data structures;sortings,2500
34,1221E,Game With String,games,2400
35,1221D,Make The Fence Great Again,dp,1700
36,1221C,Perfect Team,binary search;math,1200
37,1221B,Knights,constructive algorithms;greedy,1100
38,1221A,2048 Game,brute force;greedy;math,1000
39,1220G,Geolocation,geometry,3200
40,1220F,Gardener Alex,binary search;data structures,2600
41,1220E,Tourism,dfs and similar;dp;dsu;graphs;greedy;trees,2200
42,1220D,Alex and Julian,bitmasks;math;number theory,1900
43,1220C,Substring Game in the Lesson,games;greedy;strings,1300
44,1220B,Multiplication Table,math;number theory,1300
45,1220A,Cards,implementation;sortings;strings,600
46,1219G,Harvester,implementation,2000
47,1219C,Periodic integer number,implementation;strings,1700
48,1218I,The Light Square,2-sat;dfs and similar;greedy,2200
49,1218H,Function Composition,dfs and similar,2700
50,1218G,Alpha planetary system,constructive algorithms;graphs;shortest paths,3300
51,1218F,Workout plan,data structures;greedy,1500
52,1218E,Product Tuples,divide and conquer;fft,2500
53,1218D,Xor Spanning Tree,divide and conquer;fft;graphs,2600
54,1218C,Jumping Transformers,dp,2800
55,1218B,Guarding warehouses,data structures;geometry,2700
56,1218A,BubbleReactor,dp;graphs,2800
57,1217F,Forced Online Queries Problem,data structures;divide and conquer;dsu;graphs;trees,2800
58,1217E,Sum Queries?,data structures;greedy;implementation;math,2300
59,1217D,Coloring Edges,constructive algorithms;dfs and similar;graphs,2000
60,1217C,The Number Of Good Substrings,binary search;bitmasks;brute force,1600
61,1217B,Zmei Gorynich,greedy;math,1600
62,1217A,Creating a Character,binary search;math,1300
63,1216F,Wi-Fi,data structures;dp;greedy,2300
64,1216E2,Numerical Sequence (hard version),binary search;math,2300
65,1216E1,Numerical Sequence (easy version),binary search;brute force;math,1900
66,1216D,Swords,math,1300
67,1216C,White Sheet,geometry;math,1500
68,1216B,Shooting,greedy;implementation;sortings,1000
69,1216A,Prefixes,strings,900
70,1215F,Radio Stations,2-sat,2800
71,1215E,Marbles,bitmasks;dp,2200
72,1215D,Ticket Game,games;greedy;math,1700
73,1215C,Swap Letters,constructive algorithms;greedy,1500
74,1215B,The Number of Products,combinatorics;dp;implementation,1500
75,1215A,Yellow Cards,greedy;implementation;math,1000
76,1214H,Tiles Placement,constructive algorithms;dfs and similar;trees,2700
77,1214G,Feeling Good,bitmasks;data structures,3100
78,1214F,Employment,greedy;sortings,2700
79,1214E,Petya and Construction Set,constructive algorithms;graphs;math;sortings;trees,2000
80,1214D,Treasure Island,dfs and similar;dp;flows;hashing,1800
81,1214C,Bad Sequence,data structures;greedy,1200
82,1214B,Badges,brute force;math,1100
83,1214A,Optimal Currency Exchange,brute force;math,1300
84,1213G,Path Queries,divide and conquer;dsu;graphs;sortings;trees,2000
85,1213F,Unstable String Sort,data structures;dfs and similar;dsu;graphs;greedy;implementation;strings,2400
86,1213E,Two Small Strings,brute force;constructive algorithms,2000
87,1213D2,Equalizing by Division (hard version),brute force;math;sortings,1600
88,1213D1,Equalizing by Division (easy version),brute force;implementation,1500
89,1213C,Book Reading,math,1200
90,1213B,Bad Prices,data structures;implementation,1100
91,1213A,Chips Moving,math,900
92,1211I,Unusual Graph,*special problem;graphs,3000
93,1211H,Road Repair in Treeland,*special problem;binary search;dp;trees,3000
94,1211G,King's Path,*special problem;math;trees,2500
95,1211F,kotlinkotlinkotlinkotlin...,*special problem;graphs;implementation;strings,2400
96,1211E,Double Permutation Inc.,*special problem;binary search;greedy,2200
97,1211D,Teams,*special problem;binary search;greedy;math,2200
98,1211C,Ice Cream,*special problem;greedy;sortings,2000
99,1211B,Traveling Around the Golden Ring of Berland,*special problem;implementation,1500
100,1211A,Three Problems,*special problem;implementation,1300
101,1210G,Mateusz and Escape Room,dp,3400
102,1210F2,Marek and Matching (hard version),brute force;probabilities,3100
103,1210F1,Marek and Matching (easy version),brute force;probabilities,2900
104,1210E,Wojtek and Card Tricks,math,2700
105,1210D,Konrad and Company Evaluation,graphs,2300
106,1210C,Kamil and Making a Stream,math;number theory;trees,2100
107,1210B,Marcin and Training Camp,brute force;greedy,1800
108,1210A,Anadi and Domino,brute force;graphs,1600
109,1209H,Moving Walkways,data structures;greedy;math,3300
110,1209G2,Into Blocks (hard version),data structures,3200
111,1209G1,Into Blocks (easy version),data structures;dsu;greedy;implementation;two pointers,2000
112,1209F,Koala and Notebook,data structures;dfs and similar;graphs;shortest paths;strings;trees,2600
113,1209E2,Rotate Columns (hard version),bitmasks;dp;greedy;sortings,2400
114,1209E1,Rotate Columns (easy version),bitmasks;brute force;dp;greedy;sortings,2000
115,1209D,Cow and Snacks,dfs and similar;dsu;graphs,1700
116,1209C,Paint the Digits,constructive algorithms;greedy;implementation,1600
117,1209B,Koala and Lights,implementation;math;number theory,1300
118,1209A,Paint the Numbers,greedy;implementation;math,900
119,1208H,Red Blue Tree,data structures;implementation;trees,3500
120,1208G,Polygons,greedy;math;number theory,2700
121,1208F,Bits And Pieces,bitmasks;dfs and similar;dp;greedy,2600
122,1208E,Let Them Slide,data structures;implementation,2200
123,1208D,Restore Permutation,binary search;data structures;greedy;implementation,1900
124,1208C,Magic Grid,constructive algorithms,1800
125,1208B,Uniqueness,binary search;brute force;implementation;two pointers,1500
126,1208A,XORinacci,math,900
127,1207G,Indie Album,data structures;dfs and similar;hashing;string suffix structures;strings;trees,2600
128,1207F,Remainder Problem,brute force;data structures;implementation,2100
129,1207E,XOR Guessing,bitmasks;interactive;math,1800
130,1207D,Number Of Permutations,combinatorics,1800
131,1207C,Gas Pipeline,dp;greedy,1500
132,1207B,Square Filling,constructive algorithms;greedy;implementation,1200
133,1207A,There Are Two Types Of Burgers,brute force;greedy;implementation;math,700
134,1206B,Make Product Equal One,dp;implementation,900
135,1206A,Choose Two Numbers,math;sortings,800
